Rowid,Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
1,India,1,Jammu And Kashmir,2011,RAW COAL,CEMENT,0.051
2,India,1,Jammu And Kashmir,2011,RAW COAL,OTHER,0.108
3,India,1,Jammu And Kashmir,2012,RAW COAL,BRICKS,0.017
4,India,1,Jammu And Kashmir,2012,RAW COAL,CEMENT,0.03
5,India,1,Jammu And Kashmir,2012,RAW COAL,OTHER,0.044
6,India,1,Jammu And Kashmir,2012,RAW COAL,TEXTILES & RAYONS,0.001
7,India,1,Jammu And Kashmir,2014,RAW COAL,BRICKS,0.011
8,India,1,Jammu And Kashmir,2014,RAW COAL,CEMENT,0.015
9,India,1,Jammu And Kashmir,2014,RAW COAL,OTHER,0.012
10,India,1,Jammu And Kashmir,2014,RAW COAL,PULP & PAPER,0.008
11,India,1,Jammu And Kashmir,2014,RAW COAL,TEXTILES & RAYONS,0.001
12,India,1,Jammu And Kashmir,2015,RAW COAL,BRICKS,0.011
13,India,1,Jammu And Kashmir,2015,RAW COAL,CEMENT,0.023
14,India,1,Jammu And Kashmir,2015,RAW COAL,OTHER,0.012
15,India,1,Jammu And Kashmir,2015,RAW COAL,PULP & PAPER,0.009
16,India,1,Jammu And Kashmir,2015,RAW COAL,TEXTILES & RAYONS,0.001
17,India,1,Jammu And Kashmir,2016,RAW COAL,BRICKS,0.009
18,India,1,Jammu And Kashmir,2016,RAW COAL,CEMENT,0.031
19,India,1,Jammu And Kashmir,2016,RAW COAL,TEXTILES & RAYONS,0.001
20,India,1,Jammu And Kashmir,2017,RAW COAL,BRICKS,0.00784810432331093098232
21,India,1,Jammu And Kashmir,2017,RAW COAL,CEMENT,0.00882911736372479735511
22,India,1,Jammu And Kashmir,2017,RAW COAL,OTHER,0.00098101304041386637279
23,India,1,Jammu And Kashmir,2018,RAW COAL,CEMENT,0.02648735209117439206533
24,India,1,Jammu And Kashmir,2018,RAW COAL,OTHER,0.03825950857614078853881
25,India,1,Jammu And Kashmir,2019,RAW COAL,CEMENT,0.011
26,India,1,Jammu And Kashmir,2019,RAW COAL,OTHER,0.024
27,India,1,Jammu And Kashmir,2020,RAW COAL,CEMENT,0.00784810432331093098232
28,India,1,Jammu And Kashmir,2020,RAW COAL,OTHER,0.0098101304041386637279
29,India,2,Himachal Pradesh,2011,RAW COAL,CEMENT,0.541
30,India,2,Himachal Pradesh,2011,RAW COAL,OTHER,0.034
31,India,2,Himachal Pradesh,2011,RAW COAL,POWER (CAPTIVE),0.074
32,India,2,Himachal Pradesh,2012,RAW COAL,CEMENT,0.501
33,India,2,Himachal Pradesh,2012,RAW COAL,OTHER,0.002
34,India,2,Himachal Pradesh,2012,RAW COAL,POWER (CAPTIVE),0.093
35,India,2,Himachal Pradesh,2012,RAW COAL,POWER (UTILITY),0.07
36,India,2,Himachal Pradesh,2012,RAW COAL,PULP & PAPER,0.008
37,India,2,Himachal Pradesh,2013,RAW COAL,CEMENT,0.433
38,India,2,Himachal Pradesh,2013,RAW COAL,OTHER,0.001
39,India,2,Himachal Pradesh,2013,RAW COAL,POWER (CAPTIVE),0.068
40,India,2,Himachal Pradesh,2014,RAW COAL,CEMENT,0.281
41,India,2,Himachal Pradesh,2015,RAW COAL,CEMENT,0.214
42,India,2,Himachal Pradesh,2016,RAW COAL,CEMENT,0.074
43,India,2,Himachal Pradesh,2018,RAW COAL,CEMENT,0.026
44,India,2,Himachal Pradesh,2019,RAW COAL,CEMENT,0.022
45,India,2,Himachal Pradesh,2020,RAW COAL,CEMENT,0.027
46,India,2,Himachal Pradesh,2020,RAW COAL,OTHER,0.004
47,India,3,Punjab,2011,RAW COAL,FERTILISERS,1.111
48,India,3,Punjab,2011,RAW COAL,OTHER,0.24
49,India,3,Punjab,2011,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.246
50,India,3,Punjab,2011,RAW COAL,POWER (CAPTIVE),0.26
51,India,3,Punjab,2011,RAW COAL,POWER (UTILITY),12.545
52,India,3,Punjab,2011,WASHED COAL,POWER (UTILITY),0.049
53,India,3,Punjab,2012,RAW COAL,FERTILISERS,1.07
54,India,3,Punjab,2012,RAW COAL,OTHER,0.37
55,India,3,Punjab,2012,RAW COAL,POWER (CAPTIVE),0.118
56,India,3,Punjab,2012,RAW COAL,POWER (UTILITY),12.632
