Rowid,Country,State lgd code,State,Year,Name of the coal field,Type of coal,Depth of the reserve,Type of reserve,Coal reserved quantity
1,India,9,Uttar Pradesh,2011,SINGRAULI,NON-COKING,0-300,INDICATED,195.75
2,India,9,Uttar Pradesh,2011,SINGRAULI,NON-COKING,0-300,PROVED,866.05
3,India,9,Uttar Pradesh,2012,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
4,India,9,Uttar Pradesh,2012,SINGRAULI,NON-COKING,0-300,PROVED,884.04
5,India,9,Uttar Pradesh,2013,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
6,India,9,Uttar Pradesh,2013,SINGRAULI,NON-COKING,0-300,PROVED,884.04
7,India,9,Uttar Pradesh,2014,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
8,India,9,Uttar Pradesh,2014,SINGRAULI,NON-COKING,0-300,PROVED,884.04
9,India,9,Uttar Pradesh,2015,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
10,India,9,Uttar Pradesh,2015,SINGRAULI,NON-COKING,0-300,PROVED,884.04
11,India,9,Uttar Pradesh,2016,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
12,India,9,Uttar Pradesh,2016,SINGRAULI,NON-COKING,0-300,PROVED,884.04
13,India,9,Uttar Pradesh,2017,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
14,India,9,Uttar Pradesh,2017,SINGRAULI,NON-COKING,0-300,PROVED,884.04
15,India,9,Uttar Pradesh,2018,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
16,India,9,Uttar Pradesh,2018,SINGRAULI,NON-COKING,0-300,PROVED,884.04
17,India,9,Uttar Pradesh,2019,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
18,India,9,Uttar Pradesh,2019,SINGRAULI,NON-COKING,0-300,PROVED,884.04
19,India,9,Uttar Pradesh,2020,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
20,India,9,Uttar Pradesh,2020,SINGRAULI,NON-COKING,0-300,PROVED,884.04
21,India,10,Bihar,2011,RAJMAHAL,NON-COKING,0-300,INFERRED,160
22,India,10,Bihar,2012,RAJMAHAL,NON-COKING,0-300,INFERRED,160
23,India,10,Bihar,2013,RAJMAHAL,NON-COKING,0-300,INFERRED,160
24,India,10,Bihar,2014,RAJMAHAL,NON-COKING,0-300,INFERRED,160
25,India,10,Bihar,2015,RAJMAHAL,NON-COKING,0-300,INFERRED,160
26,India,10,Bihar,2016,RAJMAHAL,NON-COKING,0-300,INFERRED,160
27,India,10,Bihar,2017,RAJMAHAL,NON-COKING,0-300,INFERRED,486.15
28,India,10,Bihar,2017,RAJMAHAL,NON-COKING,300-600,INFERRED,740.5
29,India,10,Bihar,2017,RAJMAHAL,NON-COKING,600-1200,INFERRED,126.85
30,India,10,Bihar,2018,RAJMAHAL,NON-COKING,0-300,INDICATED,194.36
31,India,10,Bihar,2018,RAJMAHAL,NON-COKING,0-300,INFERRED,131.79
32,India,10,Bihar,2018,RAJMAHAL,NON-COKING,0-300,PROVED,161.11
33,India,10,Bihar,2018,RAJMAHAL,NON-COKING,300-600,INDICATED,480.14
34,India,10,Bihar,2018,RAJMAHAL,NON-COKING,300-600,INFERRED,260.36
35,India,10,Bihar,2018,RAJMAHAL,NON-COKING,600-1200,INDICATED,138.99
36,India,10,Bihar,2019,RAJMAHAL,NON-COKING,0-300,INDICATED,607.43
37,India,10,Bihar,2019,RAJMAHAL,NON-COKING,0-300,INFERRED,11.3
38,India,10,Bihar,2019,RAJMAHAL,NON-COKING,0-300,PROVED,309.53
39,India,10,Bihar,2019,RAJMAHAL,NON-COKING,300-600,INDICATED,764.55
40,India,10,Bihar,2019,RAJMAHAL,NON-COKING,600-1200,INDICATED,141.03
41,India,10,Bihar,2020,RAJMAHAL,NON-COKING,0-300,INDICATED,759.88
42,India,10,Bihar,2020,RAJMAHAL,NON-COKING,0-300,INFERRED,11.3
43,India,10,Bihar,2020,RAJMAHAL,NON-COKING,0-300,PROVED,309.53
44,India,10,Bihar,2020,RAJMAHAL,NON-COKING,300-600,INDICATED,1173.38
45,India,10,Bihar,2020,RAJMAHAL,NON-COKING,600-1200,INDICATED,497.32
46,India,11,Sikkim,2011,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
47,India,11,Sikkim,2011,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
48,India,11,Sikkim,2012,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
49,India,11,Sikkim,2012,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
50,India,11,Sikkim,2013,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
51,India,11,Sikkim,2013,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
52,India,11,Sikkim,2014,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
53,India,11,Sikkim,2014,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
54,India,11,Sikkim,2015,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
