Rowid,Country,State lgd code,State,Year,Coal category,Coal supplying company name,Coal supplyling sector,Coal type,Coal supplied
1,India,1,Jammu And Kashmir,2011,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.02347509947531763448488
2,India,1,Jammu And Kashmir,2012,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.0195625828960980287374
3,India,1,Jammu And Kashmir,2013,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01858445375129312730053
4,India,1,Jammu And Kashmir,2014,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01858445375129312730053
5,India,1,Jammu And Kashmir,2015,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01271567888246371867931
6,India,1,Jammu And Kashmir,2016,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01467193717207352155305
7,India,1,Jammu And Kashmir,2017,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.0097812914480490143687
8,India,1,Jammu And Kashmir,2018,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01369380802726862011618
9,India,1,Jammu And Kashmir,2019,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01271567888246371867931
10,India,1,Jammu And Kashmir,2020,COAL,JKML,OTHER PUBLIC,COOKING,0.00000000000000000000
11,India,1,Jammu And Kashmir,2020,COAL,JKML,OTHER PUBLIC,NON-COOKING,0.01369380802726862011618
12,India,8,Rajasthan,2011,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,0.642
13,India,8,Rajasthan,2011,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,0.883
14,India,8,Rajasthan,2012,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,2.12
15,India,8,Rajasthan,2012,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.843
16,India,8,Rajasthan,2013,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,3.5
17,India,8,Rajasthan,2013,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.387
18,India,8,Rajasthan,2013,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.815
19,India,8,Rajasthan,2014,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,3.75
20,India,8,Rajasthan,2014,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.428
21,India,8,Rajasthan,2014,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.89
22,India,8,Rajasthan,2015,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,7
23,India,8,Rajasthan,2015,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.405
24,India,8,Rajasthan,2015,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,1.005
25,India,8,Rajasthan,2016,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,6.679
26,India,8,Rajasthan,2016,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,0.972
27,India,8,Rajasthan,2016,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.617
28,India,8,Rajasthan,2017,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,6.01
29,India,8,Rajasthan,2017,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.41
30,India,8,Rajasthan,2017,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,0.55
31,India,8,Rajasthan,2017,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.51
32,India,8,Rajasthan,2018,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,6.265
33,India,8,Rajasthan,2018,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.584
34,India,8,Rajasthan,2018,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.019
35,India,8,Rajasthan,2018,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.426
36,India,8,Rajasthan,2019,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,5.845
37,India,8,Rajasthan,2019,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,0
38,India,8,Rajasthan,2019,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.209
39,India,8,Rajasthan,2019,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,1.317
40,India,8,Rajasthan,2019,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.305
41,India,8,Rajasthan,2020,LIGNITE,BLMCL,OTHER PUBLIC,LIGNITE,5.413
42,India,8,Rajasthan,2020,LIGNITE,GMDCL,OTHER PUBLIC,LIGNITE,0
43,India,8,Rajasthan,2020,LIGNITE,NLC,OTHER PUBLIC,LIGNITE,1.348
44,India,8,Rajasthan,2020,LIGNITE,RSMML,OTHER PUBLIC,LIGNITE,0.79
45,India,8,Rajasthan,2020,LIGNITE,VSLPPL,OTHER PUBLIC,LIGNITE,0.672
46,India,9,Uttar Pradesh,2011,COAL,NCL,CIL,NON-COOKING,15.526
47,India,9,Uttar Pradesh,2012,COAL,NCL,CIL,NON-COOKING,16.178
48,India,9,Uttar Pradesh,2013,COAL,NCL,CIL,NON-COOKING,16.09
49,India,9,Uttar Pradesh,2014,COAL,NCL,CIL,NON-COOKING,14.721
50,India,9,Uttar Pradesh,2015,COAL,NCL,CIL,NON-COOKING,14.957
51,India,9,Uttar Pradesh,2016,COAL,NCL,CIL,NON-COOKING,12.689
52,India,9,Uttar Pradesh,2017,COAL,NCL,CIL,NON-COOKING,16.06
53,India,9,Uttar Pradesh,2018,COAL,NCL,CIL,NON-COOKING,18.309
54,India,9,Uttar Pradesh,2019,COAL,NCL,CIL,NON-COOKING,20.275
55,India,9,Uttar Pradesh,2020,COAL,NCL,CIL,COOKING,0
56,India,9,Uttar Pradesh,2020,COAL,NCL,CIL,NON-COOKING,18.03
57,India,12,Arunachal Pradesh,2011,COAL,APMDTCL,OTHER PUBLIC,NON-COOKING,0.299
58,India,12,Arunachal Pradesh,2012,COAL,APMDTCL,OTHER PUBLIC,NON-COOKING,0.221
59,India,12,Arunachal Pradesh,2013,COAL,APMDTCL,OTHER PUBLIC,NON-COOKING,0.073
60,India,17,Meghalaya,2011,COAL,MEG,PRIVATE,NON-COOKING,6.974
61,India,17,Meghalaya,2012,COAL,MEG,PRIVATE,NON-COOKING,7.206
62,India,17,Meghalaya,2013,COAL,MEG,PRIVATE,NON-COOKING,5.64
63,India,17,Meghalaya,2014,COAL,MEG,PRIVATE,NON-COOKING,5.732
64,India,17,Meghalaya,2015,COAL,MEG,PRIVATE,NON-COOKING,5.732
65,India,17,Meghalaya,2016,COAL,MEG,PRIVATE,NON-COOKING,3.715
66,India,17,Meghalaya,2017,COAL,MEG,PRIVATE,NON-COOKING,2.31
67,India,17,Meghalaya,2018,COAL,MEG,PRIVATE,NON-COOKING,1.529
68,India,18,Assam,2011,COAL,NEC,OTHER PUBLIC,NON-COOKING,1.101
69,India,18,Assam,2012,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.602
70,India,18,Assam,2013,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.605
71,India,18,Assam,2014,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.664
72,India,18,Assam,2015,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.779
73,India,18,Assam,2016,COAL,NEC,OTHER PUBLIC,NON-COOKING,0.486
74,India,18,Assam,2017,COAL,NEC,CIL,NON-COOKING,0.6
75,India,18,Assam,2018,COAL,NEC,CIL,NON-COOKING,0.781
76,India,18,Assam,2019,COAL,NEC,CIL,NON-COOKING,0.784
77,India,18,Assam,2020,COAL,NEC,CIL,COOKING,0
78,India,18,Assam,2020,COAL,NEC,CIL,NON-COOKING,0.517
79,India,19,West Bengal,2011,COAL,BCCL,CIL,COOKING,0.029
80,India,19,West Bengal,2011,COAL,BECML,PRIVATE,NON-COOKING,2.876
81,India,19,West Bengal,2011,COAL,DVC EMTA,OTHER PUBLIC,NON-COOKING,0.021
82,India,19,West Bengal,2011,COAL,ECL,CIL,COOKING,0.007
83,India,19,West Bengal,2011,COAL,ECL,CIL,NON-COOKING,15.313
84,India,19,West Bengal,2011,COAL,ICML,PRIVATE,NON-COOKING,2.929
85,India,19,West Bengal,2011,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.227
86,India,19,West Bengal,2011,COAL,WBPDCL,OTHER PUBLIC,NON-COOKING,0.257
87,India,19,West Bengal,2012,COAL,BCCL,CIL,COOKING,0.034
88,India,19,West Bengal,2012,COAL,BECML,PRIVATE,NON-COOKING,2.598
89,India,19,West Bengal,2012,COAL,DVC EMTA,OTHER PUBLIC,NON-COOKING,1.165
90,India,19,West Bengal,2012,COAL,ECL,CIL,COOKING,0.01
91,India,19,West Bengal,2012,COAL,ECL,CIL,NON-COOKING,16.298
92,India,19,West Bengal,2012,COAL,ICML,PRIVATE,NON-COOKING,3.745
93,India,19,West Bengal,2012,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.164
94,India,19,West Bengal,2012,COAL,WBPDCL,OTHER PUBLIC,NON-COOKING,0.216
95,India,19,West Bengal,2013,COAL,BCCL,CIL,COOKING,0.02
96,India,19,West Bengal,2013,COAL,BCCL,CIL,NON-COOKING,0.046
97,India,19,West Bengal,2013,COAL,DVC EMTA,OTHER PUBLIC,NON-COOKING,1.836
98,India,19,West Bengal,2013,COAL,ECL,CIL,COOKING,0.01
99,India,19,West Bengal,2013,COAL,ECL,CIL,NON-COOKING,17.568
100,India,19,West Bengal,2013,COAL,ICML,PRIVATE,NON-COOKING,3.129
101,India,19,West Bengal,2013,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.155
102,India,19,West Bengal,2013,COAL,SOVA,PRIVATE,NON-COOKING,0.089
103,India,19,West Bengal,2013,COAL,WBMDTCL,OTHER PUBLIC,NON-COOKING,0.348
104,India,19,West Bengal,2013,COAL,WBPDCL,OTHER PUBLIC,NON-COOKING,3.266
105,India,19,West Bengal,2014,COAL,BCCL,CIL,COOKING,1.346
106,India,19,West Bengal,2014,COAL,BCCL,CIL,NON-COOKING,0.201
107,India,19,West Bengal,2014,COAL,DVC EMTA,OTHER PUBLIC,NON-COOKING,1.519
108,India,19,West Bengal,2014,COAL,ECL,CIL,COOKING,0.01
109,India,19,West Bengal,2014,COAL,ECL,CIL,NON-COOKING,18.866
110,India,19,West Bengal,2014,COAL,ICML,PRIVATE,NON-COOKING,2.708
111,India,19,West Bengal,2014,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.081
112,India,19,West Bengal,2014,COAL,SOVA,PRIVATE,NON-COOKING,0.276
113,India,19,West Bengal,2014,COAL,WBMDTCL,OTHER PUBLIC,NON-COOKING,0.726
114,India,19,West Bengal,2014,COAL,WBPDCL,OTHER PUBLIC,NON-COOKING,2.511
115,India,19,West Bengal,2015,COAL,BCCL,CIL,COOKING,0.576
116,India,19,West Bengal,2015,COAL,BCCL,CIL,NON-COOKING,0.472
117,India,19,West Bengal,2015,COAL,DVC EMTA,OTHER PUBLIC,NON-COOKING,1.001
118,India,19,West Bengal,2015,COAL,ECL,CIL,COOKING,0.004
119,India,19,West Bengal,2015,COAL,ECL,CIL,NON-COOKING,20.6
120,India,19,West Bengal,2015,COAL,ICML,PRIVATE,NON-COOKING,3.492
121,India,19,West Bengal,2015,COAL,IISCO/SAIL,OTHER PUBLIC,NON-COOKING,0.206
122,India,19,West Bengal,2015,COAL,SOVA,PRIVATE,NON-COOKING,0.4
123,India,19,West Bengal,2015,COAL,WBMDTCL,OTHER PUBLIC,NON-COOKING,1.042
124,India,19,West Bengal,2015,COAL,WBPDCL,OTHER PUBLIC,NON-COOKING,2.221
125,India,19,West Bengal,2016,COAL,BCCL,CIL,COOKING,1.995
126,India,19,West Bengal,2016,COAL,BCCL,CIL,NON-COOKING,0.563
