Rowid,Country,State lgd code,State,Year,Region-wise installation of electricity,"Energy value type ( potential, capacity, generation )",Types of energy sources,Nature of energy sources,"Types of usage (utility ,captive)",Type of energy sector,Values for renewable electricity
1,India,1,Jammu And Kashmir,2011,NR,Capacity,SMALL HYDRO,,,,126.5014422976179028303971
2,India,1,Jammu And Kashmir,2011,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
3,India,1,Jammu And Kashmir,2011,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
4,India,1,Jammu And Kashmir,2011,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.4821397555054491152572
5,India,1,Jammu And Kashmir,2011,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
6,India,1,Jammu And Kashmir,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8671.9462784685354040738895
7,India,1,Jammu And Kashmir,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3474.510348175970884049614
8,India,1,Jammu And Kashmir,2011,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
9,India,1,Jammu And Kashmir,2011,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,13.8209648160932573029731
10,India,1,Jammu And Kashmir,2011,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,246.31932814878391414266149
11,India,1,Jammu And Kashmir,2011,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
12,India,1,Jammu And Kashmir,2011,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
13,India,1,Jammu And Kashmir,2011,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
14,India,1,Jammu And Kashmir,2011,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
15,India,1,Jammu And Kashmir,2012,NR,Capacity,SMALL HYDRO,,,,127.6751972713837845546411
16,India,1,Jammu And Kashmir,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
17,India,1,Jammu And Kashmir,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8494.07349348576407777908
18,India,1,Jammu And Kashmir,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3516.4427446137570086482309
19,India,1,Jammu And Kashmir,2012,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,5.2916786733945167734667
20,India,1,Jammu And Kashmir,2012,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,248.60423783104816389918981
21,India,1,Jammu And Kashmir,2012,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
22,India,1,Jammu And Kashmir,2012,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
23,India,1,Jammu And Kashmir,2012,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
24,India,1,Jammu And Kashmir,2013,NR,Capacity,SMALL HYDRO,,,,127.6751972713837845546411
25,India,1,Jammu And Kashmir,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
26,India,1,Jammu And Kashmir,2013,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
27,India,1,Jammu And Kashmir,2013,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.4038894239210570003076
28,India,1,Jammu And Kashmir,2013,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
29,India,1,Jammu And Kashmir,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8593.6568217183510930668147
30,India,1,Jammu And Kashmir,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3619.07783577813531641900
31,India,1,Jammu And Kashmir,2013,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
32,India,1,Jammu And Kashmir,2013,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0.00000000000000000000
33,India,1,Jammu And Kashmir,2013,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,248.60423783104816389918981
34,India,1,Jammu And Kashmir,2013,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
35,India,1,Jammu And Kashmir,2013,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
36,India,1,Jammu And Kashmir,2013,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
37,India,1,Jammu And Kashmir,2013,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
38,India,1,Jammu And Kashmir,2014,NR,Capacity,SMALL HYDRO,,,,144.3033927330671089814311
39,India,1,Jammu And Kashmir,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
40,India,1,Jammu And Kashmir,2014,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
41,India,1,Jammu And Kashmir,2014,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.3452016752327629140954
42,India,1,Jammu And Kashmir,2014,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
43,India,1,Jammu And Kashmir,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8701.045620526481221820772
44,India,1,Jammu And Kashmir,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3453.9598548436199048609753
45,India,1,Jammu And Kashmir,2014,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
46,India,1,Jammu And Kashmir,2014,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0.00000000000000000000
47,India,1,Jammu And Kashmir,2014,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,280.98226878238001126246055
48,India,1,Jammu And Kashmir,2014,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
49,India,1,Jammu And Kashmir,2014,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
50,India,1,Jammu And Kashmir,2014,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
51,India,1,Jammu And Kashmir,2014,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
52,India,1,Jammu And Kashmir,2014,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
53,India,1,Jammu And Kashmir,2015,NR,Capacity,SMALL HYDRO,,,,156.53
54,India,1,Jammu And Kashmir,2015,NR,Potential,BIOMASS,RENEWABLE,,,43
55,India,1,Jammu And Kashmir,2015,NR,Potential,SMALL HYDRO,RENEWABLE,,,1431
56,India,1,Jammu And Kashmir,2015,NR,Potential,SOLAR,RENEWABLE,,,111050
57,India,1,Jammu And Kashmir,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
58,India,1,Jammu And Kashmir,2015,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
59,India,1,Jammu And Kashmir,2015,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.51
60,India,1,Jammu And Kashmir,2015,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
61,India,1,Jammu And Kashmir,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,10640.92
62,India,1,Jammu And Kashmir,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3844.1
63,India,1,Jammu And Kashmir,2015,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
64,India,1,Jammu And Kashmir,2015,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0
65,India,1,Jammu And Kashmir,2015,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,304.79
66,India,1,Jammu And Kashmir,2015,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
67,India,1,Jammu And Kashmir,2015,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
68,India,1,Jammu And Kashmir,2015,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
